,TÃ­tulo,Linguagem,Estrelas Hoje,Estrelas Totais,Forks,Ranking
0,"Cinnamon , kotaemon",Python,"8,381","1,375 ","8,381",1
1,"sickcodes , Docker-OSX",Shell,"44,184","1,244 ","44,184",2
2,"lobehub , lobe-chat",TypeScript,"37,807",52 ,"37,807",3
3,"f , awesome-chatgpt-prompts",HTML,"109,130",195 ,"109,130",4
4,"aceberg , WatchYourLAN",Go,"2,465",343 ,"2,465",5
5,"MLSysOps , MLE-agent",Python,592,60 ,592,6
6,"graviraja , MLOps-Basics",Jupyter Notebook,"4,803",110 ,"4,803",7
7,"gitroomhq , postiz-app",TypeScript,"4,520",452 ,"4,520",8
8,"swisskyrepo , PayloadsAllTheThings",Python,"59,650",29 ,"59,650",9
9,"bluesky-social , social-app",TypeScript,"7,773",175 ,"7,773",10
